#Supplementary Table 1 Summary of protein groups measured in at least one sample of the Genes & Health cohort
#.ref - indicates protein and precursor (pre.) data obtained including all possible peptides; .mac5 - excluding variant peptides with evidence that respective protein altering variants exist in the Genes & Health population down to a minor allele count (MAC) of 5; sd - standard deviation; cv - coefficient of variation; p.dip - p-value of a dip test for multi-modal distribution: cis.pQTL - whehter or not a cis-pQTL was identified; med.pred = median (and 25th and 75th percentil) value of predicted correlation coefficient across all protein groups measued; Olink ID - best correlating olink target; spear.olink = associated Spearman correlation coefficient; SomaLogic ID = best correlating aptamer ID; spear.soma = associated Spearman correlation coefficient
#
prot.id,protein_group_id,uniprotswissprot,chromosome,start_position,end_position,ensembl_gene_id,hgnc_symbol,num.pre.well1.ref,num.pre.well2.ref,missing.per.ref,mean.l2.ref,sd.l2.ref,num.pre.well1.mac5,num.pre.well2.mac5,cv.mac5,mean.cv.mac5,sd.cv.mac5,n.mac5,missing.per.mac5,mean.l2.mac5,sd.l2.mac5,median.l2.mac5,min.l2.mac5,max.l2.mac5,p.dip.mac5,faction.outlier.mac5,cis.pQTL,med.pred,p25.pred,p75.pred,Olink ID,spear.olink,SomaLogic ID,spear.soma,correlation.cluster,cell type contamination marker
prot.1026,O00231,O00231,17,32444379,32483319,ENSG00000108671,PSMD11,36,36,0.00,13.55,0.48,36,36,17.75,13.17,0.23,22.00,0.00,13.55,0.48,13.56,10.68,15.42,0.99,0.00,FALSE,0.46,0.46,0.47,,,seq.13572.43,0.59,1,
prot.1027,O00232,O00232,17,67337916,67366605,ENSG00000197170,PSMD12,32,32,0.00,13.59,0.47,32,32,17.78,13.31,0.23,22.00,0.00,13.59,0.47,13.61,10.54,15.47,0.99,0.01,FALSE,0.37,0.34,0.38,,,,,1,
prot.1028,O00233,O00233,12,121888732,121918297,ENSG00000110801,PSMD9,13,13,0.00,13.85,0.44,9,9,15.75,13.47,0.22,22.00,0.00,13.74,0.43,13.76,11.08,15.34,0.99,0.00,FALSE,0.31,0.31,0.32,PSMD9_44136,0.27,seq.13931.22,0.19,1,
prot.1029,O00237,O00237,2,86603398,86623866,ENSG00000239305,RNF103,2,2,29.99,14.42,0.66,2,2,19.30,14.27,0.28,16.00,29.99,14.42,0.66,14.46,10.39,17.14,1.00,0.00,FALSE,0.13,0.12,0.13,,,,,,
prot.103,A0A0A0MTS7,Q8WZ42,2,178525989,178830802,ENSG00000155657,TTN,231,203,0.00,13.60,0.58,204,178,15.65,13.44,0.24,22.00,0.00,13.60,0.58,13.51,12.22,17.24,0.99,0.01,FALSE,NA,NA,NA,,,,,,
prot.1030,O00258,O00258,21,39377698,39428528,ENSG00000182093,GET1,8,7,1.46,13.52,0.49,8,7,23.39,13.39,0.32,22.00,1.46,13.52,0.49,13.55,11.25,15.05,0.98,0.01,FALSE,0.20,0.19,0.21,,,,,,
prot.1031,O00264,O00264,X,119236245,119244466,ENSG00000101856,PGRMC1,10,10,0.00,15.67,0.51,10,10,20.20,15.42,0.26,22.00,0.00,15.67,0.51,15.67,12.43,17.91,0.96,0.01,FALSE,0.40,0.39,0.41,,,seq.7863.50,0.47,1,
prot.1032,O00267,O00267,19,39436156,39476670,ENSG00000196235,SUPT5H,34,33,6.82,11.93,0.54,34,33,28.14,11.65,0.39,20.00,6.82,11.93,0.54,11.95,8.67,14.60,1.00,0.01,FALSE,0.17,0.16,0.18,,,,,,
prot.1033,O00292,O00292,1,225936598,225941383,ENSG00000143768,LEFTY2,7,7,0.56,12.80,0.60,5,5,26.91,12.32,0.36,21.00,0.56,12.82,0.60,12.74,11.09,15.79,0.81,0.02,FALSE,0.36,0.36,0.37,LEFTY2_43920,0.36,seq.15503.20,0.45,,
prot.1034,O00299,O00299,6,31730581,31739763,ENSG00000213719,CLIC1,20,20,0.00,15.99,0.57,18,18,14.14,15.89,0.19,22.00,0.00,15.78,0.56,15.80,12.20,17.72,0.99,0.01,FALSE,0.52,0.51,0.52,CLIC1_41027,0.06,seq.5013.2,0.60,1,
prot.1035,O00300,O00300,8,118923557,118951885,ENSG00000164761,TNFRSF11B,15,14,1.88,12.58,0.44,14,13,27.90,12.56,0.37,22.00,2.85,12.64,0.43,12.65,10.53,14.97,0.85,0.00,FALSE,0.41,0.41,0.42,TNFRSF11B_44986,0.50,seq.8304.50,0.52,,
prot.1036,O00330,O00330,11,34915829,35020591,ENSG00000110435,PDHX,16,15,0.84,12.55,0.51,15,14,17.81,12.25,0.26,22.00,0.84,12.49,0.51,12.53,9.18,14.11,0.99,0.01,FALSE,0.43,0.41,0.43,,,seq.18319.7,0.53,,
prot.1037,O00339-2,O00339,8,97868840,98036724,ENSG00000132561,MATN2,31,31,0.00,13.06,0.34,26,26,12.77,12.79,0.18,22.00,0.00,13.09,0.34,13.12,11.51,14.15,0.99,0.00,FALSE,0.37,0.37,0.37,MATN2_44770,0.44,seq.3325.2,0.32,,
prot.1038,O00391,O00391,1,180154869,180204030,ENSG00000116260,QSOX1,60,59,0.00,15.14,0.31,53,53,10.43,15.25,0.15,22.00,0.00,15.25,0.31,15.24,13.27,16.91,0.80,0.01,TRUE,0.43,0.43,0.44,,,seq.26109.171,0.46,,
prot.1039,O00399,O00399,8,30156319,30183639,ENSG00000104671,DCTN6,8,7,0.70,13.73,0.50,8,7,20.88,13.65,0.29,22.00,0.70,13.73,0.50,13.77,10.33,15.67,0.70,0.01,FALSE,0.40,0.39,0.41,DCTN6_43597,0.48,seq.18311.44,0.35,,
prot.104,A0A0B4J1R4,P32754,12,121839527,121863596,ENSG00000158104,HPD,7,7,42.24,12.37,0.69,6,6,36.75,12.68,0.55,21.00,45.23,12.45,0.70,12.45,9.99,14.83,0.51,0.00,FALSE,NA,NA,NA,,,,,,
prot.1040,O00400,O00400,3,155821024,155854456,ENSG00000169359,SLC33A1,15,15,0.49,13.33,0.50,14,14,26.11,13.11,0.33,22.00,0.49,13.33,0.50,13.36,8.64,15.06,0.99,0.01,FALSE,0.16,0.16,0.17,,,,,,
prot.1041,O00401,O00401,7,123681943,123749003,ENSG00000106299,WASL,5,5,1.25,13.56,0.52,5,5,29.83,13.44,0.42,22.00,1.25,13.56,0.52,13.57,11.12,15.49,1.00,0.00,FALSE,0.12,0.12,0.13,WASL_43285,0.04,seq.25082.3,0.00,,
prot.1042,O00408-2,O00408,11,72576141,72674591,ENSG00000186642,PDE2A,21,20,2.51,12.28,0.67,21,20,24.38,11.71,0.44,22.00,2.51,12.28,0.67,12.28,9.17,15.29,0.99,0.00,TRUE,0.36,0.35,0.37,PDE2A_41601,0.48,seq.5246.64,-0.02,,
prot.1043,O00410,O00410,13,97953658,98024296,ENSG00000065150,IPO5,78,78,0.00,14.06,0.50,76,76,14.94,13.82,0.21,22.00,0.00,14.05,0.50,14.09,11.08,15.87,0.99,0.01,FALSE,0.51,0.49,0.52,,,,,1,
prot.1044,O00421;O00421-2,O00421,3,46407166,46412997,ENSG00000121797,CCRL2,6,6,0.14,13.78,0.40,5,5,13.50,13.80,0.19,22.00,0.14,13.89,0.40,13.92,11.70,15.43,0.97,0.01,FALSE,0.26,0.25,0.27,,,,,,
prot.1045,O00425,O00425,7,23310209,23470491,ENSG00000136231,IGF2BP3,2,2,4.73,12.90,0.66,2,2,31.69,12.63,0.42,22.00,4.73,12.90,0.66,12.94,8.82,15.36,1.00,0.00,FALSE,0.25,0.25,0.26,IGF2BP3_42591,0.28,seq.27576.67,-0.01,,
prot.1046,O00429,O00429,12,32679200,32745650,ENSG00000087470,DNM1L,85,85,0.00,14.49,0.68,85,85,24.80,14.48,0.31,22.00,0.00,14.49,0.68,14.53,9.38,17.52,0.94,0.01,TRUE,0.25,0.24,0.26,,,seq.21452.3,0.01,1,
prot.1047,O00442,O00442,1,100266216,100292769,ENSG00000137996,RTCA,27,26,0.00,13.36,0.46,26,25,20.43,13.08,0.28,22.00,0.00,13.35,0.47,13.35,11.03,15.25,0.99,0.01,FALSE,0.52,0.51,0.53,,,seq.21369.15,0.72,1,
prot.1048,O00443,O00443,11,17077730,17207986,ENSG00000011405,PIK3C2A,6,6,32.29,11.76,0.57,6,6,36.59,11.50,0.53,15.00,32.29,11.76,0.57,11.76,10.02,15.00,0.99,0.00,FALSE,0.08,0.08,0.09,,,seq.14028.22,0.03,,
prot.1049,O00451,O00451,8,21690398,21812357,ENSG00000168546,GFRA2,10,9,0.35,12.51,0.47,10,9,18.62,12.04,0.30,22.00,0.35,12.51,0.47,12.53,9.81,14.27,1.00,0.00,FALSE,0.45,0.45,0.45,GFRA2_43747,0.44,seq.2515.14,0.60,,
prot.105,A0A0B4J1S2,Q8WWV6,1,206957965,206970625,ENSG00000162897,FCAMR,5,5,5.22,12.52,0.56,4,4,26.59,12.05,0.36,16.00,6.05,12.49,0.57,12.50,10.51,14.46,1.00,0.00,FALSE,NA,NA,NA,,,,,,
prot.1050,O00453;O00453-10,O00453,6,31586124,31588909,ENSG00000204482,LST1,3,3,0.35,14.10,0.66,3,3,18.80,14.12,0.28,22.00,0.35,14.10,0.66,14.16,11.14,16.05,1.00,0.00,TRUE,0.26,0.25,0.26,,,seq.9531.24,0.26,,
prot.1051,O00459,O00459,19,18153163,18170532,ENSG00000105647,PIK3R2,5,5,4.66,12.43,0.59,5,5,34.96,12.16,0.49,21.00,4.66,12.43,0.59,12.48,9.57,14.37,0.88,0.00,FALSE,0.19,0.17,0.20,,,,,,
prot.1052,O00461,O00461,3,168008689,168095924,ENSG00000173905,GOLIM4,31,32,0.00,13.10,0.30,30,30,12.00,12.94,0.17,22.00,0.00,13.20,0.30,13.21,11.47,14.21,0.99,0.00,FALSE,0.30,0.30,0.31,,,,,,
prot.1053,O00468-6,O00468,1,1020120,1056118,ENSG00000188157,AGRN,70,70,0.00,13.47,0.29,58,58,15.43,12.90,0.21,22.00,0.00,13.50,0.30,13.49,12.36,14.95,0.96,0.00,TRUE,0.41,0.41,0.42,AGRN_44452,0.46,seq.15483.377,0.51,,
prot.1054,O00469-2,O00469,3,146035139,146163725,ENSG00000152952,PLOD2,18,18,0.00,12.99,0.40,17,17,14.97,12.72,0.23,22.00,0.00,13.02,0.40,13.02,10.12,14.98,0.99,0.00,FALSE,0.26,0.26,0.26,,,seq.6923.1,0.21,,
prot.1055,O00471,O00471,14,57200507,57268905,ENSG00000070367,EXOC5,39,38,0.28,13.17,0.48,37,36,21.36,13.00,0.29,22.00,0.28,13.17,0.48,13.19,9.58,15.07,1.00,0.01,FALSE,0.15,0.15,0.16,,,seq.31984.2,-0.02,1,
prot.1056,O00478-2,O00478,6,26440472,26453415,ENSG00000111801,BTN3A3,7,7,5.08,12.52,0.53,1,1,22.25,13.05,0.29,18.00,45.65,13.11,0.50,13.12,11.11,14.86,0.85,0.00,FALSE,0.15,0.14,0.15,,,seq.17692.2,0.08,,
prot.1057,O00481,O00481,6,26402237,26415208,ENSG00000026950,BTN3A1,14,14,1.67,12.51,0.55,10,10,26.53,12.34,0.35,22.00,1.95,12.55,0.55,12.59,9.05,14.37,0.99,0.01,TRUE,0.15,0.14,0.15,,,seq.7081.2,0.07,,
prot.1058,O00483,O00483,7,10931943,10940153,ENSG00000189043,NDUFA4,7,7,0.00,16.35,0.70,7,7,25.89,16.08,0.34,22.00,0.00,16.35,0.70,16.37,12.03,18.87,0.99,0.01,FALSE,0.26,0.25,0.28,,,,,1,PBMCs
prot.1059,O00487,O00487,2,161308425,161411717,ENSG00000115233,PSMD14,11,11,0.00,13.98,0.47,11,11,19.40,13.59,0.25,22.00,0.00,13.98,0.47,13.99,10.29,15.78,1.00,0.00,FALSE,0.41,0.40,0.41,,,,,1,
prot.106,A0A0B4J1U7,A0A0B4J1U7,14,105939756,105940253,ENSG00000211933,IGHV6-1,5,5,0.00,14.93,0.77,5,5,24.49,14.63,0.33,22.00,0.00,14.93,0.77,14.86,12.76,19.01,1.00,0.00,FALSE,0.42,0.41,0.43,,,,,,
prot.1060,O00499-2;O00499-6,O00499,2,127048027,127107288,ENSG00000136717,BIN1,25,25,0.28,13.28,0.41,25,25,14.89,13.36,0.22,22.00,0.28,13.28,0.41,13.29,11.59,15.12,0.99,0.00,FALSE,0.46,0.45,0.46,BIN1_40057,-0.01,seq.9574.11,0.51,,
prot.1061,O00505,O00505,13,49699320,49792682,ENSG00000102753,KPNA3,12,12,0.56,13.79,0.52,12,12,22.47,13.54,0.32,22.00,0.56,13.79,0.52,13.81,10.40,15.60,1.00,0.01,FALSE,0.20,0.20,0.20,,,seq.28497.28,0.08,,
prot.1062,O00506,O00506,2,241492670,241509730,ENSG00000115694,STK25,2,2,14.27,12.63,0.55,2,2,31.43,12.56,0.47,20.00,14.27,12.63,0.55,12.68,10.12,14.35,0.79,0.00,FALSE,0.17,0.17,0.17,,,,,,
prot.1063,O00534,O00534,11,124115404,124147721,ENSG00000110002,VWA5A,38,38,0.14,13.18,0.69,35,35,20.72,12.88,0.30,22.00,0.14,13.20,0.69,13.25,8.52,16.10,0.87,0.01,TRUE,0.23,0.22,0.25,VWA5A_43283,0.03,seq.25812.7,-0.01,,
prot.1064,O00560;O00560-3,O00560,8,58552924,58582859,ENSG00000137575,SDCBP,11,11,0.00,13.20,0.30,10,10,12.54,13.24,0.18,22.00,0.00,13.13,0.30,13.14,11.99,14.04,1.00,0.00,FALSE,0.33,0.33,0.35,,,seq.17806.6,0.37,,
prot.1065,O00562-2,O00562,11,67491768,67506263,ENSG00000110697,PITPNM1,4,4,8.21,12.67,0.57,3,3,30.23,12.88,0.43,21.00,11.20,12.97,0.60,13.02,10.16,14.60,0.90,0.00,FALSE,0.26,0.26,0.27,,,seq.29161.60,0.37,,
prot.1066,O00584,O00584,6,166922113,166957191,ENSG00000026297,RNASET2,5,5,11.83,12.29,0.64,5,5,55.09,12.24,0.66,21.00,11.83,12.29,0.64,12.34,8.15,14.12,0.99,0.00,TRUE,0.15,0.14,0.16,RNASET2_45248,0.10,seq.16913.8,0.02,,
prot.1067,O00585,O00585,9,34709005,34710136,ENSG00000137077,CCL21,7,7,0.00,15.72,0.39,7,7,10.66,15.58,0.16,22.00,0.00,15.72,0.39,15.70,14.46,17.41,0.99,0.00,FALSE,0.65,0.64,0.65,CCL21_44499,0.65,seq.2516.57,0.77,,
prot.1068,O00587,O00587,22,37469063,37486393,ENSG00000100060,MFNG,9,9,0.35,12.04,0.39,9,9,24.91,12.08,0.42,22.00,0.35,12.04,0.39,12.07,10.25,13.00,0.99,0.01,FALSE,0.12,0.11,0.13,,,seq.5605.77,0.05,,
prot.1069,O00592;O00592-2,O00592,7,131500262,131558217,ENSG00000128567,PODXL,2,2,1.53,12.80,0.47,2,2,20.28,12.98,0.33,22.00,1.53,12.80,0.47,12.82,10.92,14.17,0.73,0.00,FALSE,0.14,0.13,0.15,PODXL_44107,0.07,seq.34707.25,-0.01,,
prot.107,A0A0B4J1V0,A0A0B4J1V0,14,106153624,106154163,ENSG00000211943,IGHV3-15,6,6,0.00,14.75,0.90,5,5,13.82,14.29,0.20,22.00,0.00,14.95,0.91,14.86,12.50,20.46,1.00,0.01,FALSE,0.47,0.47,0.48,,,,,,
prot.1070,O00602,O00602,9,134903232,134917912,ENSG00000085265,FCN1,22,22,0.00,14.75,0.47,18,18,15.20,15.31,0.23,22.00,0.00,14.91,0.47,14.93,12.06,16.25,0.99,0.00,TRUE,0.57,0.57,0.58,FCN1_45360,0.64,seq.22961.7,0.61,,
prot.1071,O00622,O00622,1,85580761,85584589,ENSG00000142871,CCN1,15,15,0.42,12.18,0.40,13,13,25.39,11.99,0.37,21.00,1.60,12.15,0.41,12.18,9.53,13.58,1.00,0.00,FALSE,0.26,0.26,0.27,CCN1_43476,0.29,seq.6264.9,0.05,,
prot.1072,O00628,O00628,6,136822564,136913934,ENSG00000112357,PEX7,7,7,2.09,12.50,0.49,7,7,27.33,12.23,0.39,22.00,2.09,12.50,0.49,12.55,9.85,14.63,0.77,0.00,FALSE,0.24,0.23,0.24,,,,,,
prot.1073,O00743,O00743,9,125146573,125189939,ENSG00000119414,PPP6C,19,19,0.00,14.22,0.47,19,19,15.62,14.00,0.21,22.00,0.00,14.22,0.47,14.23,11.28,16.07,0.81,0.01,FALSE,0.44,0.43,0.45,,,,,1,
prot.1074,O00746;Q4TT34,O00746,16,396725,410367,ENSG00000103202,NME4,11,11,0.97,13.86,0.50,10,10,18.81,13.75,0.27,22.00,1.11,13.85,0.51,13.88,10.88,15.26,1.00,0.01,TRUE,0.50,0.49,0.50,,,seq.16809.1,0.66,,
prot.1075,O00748,O00748,16,66934444,66945096,ENSG00000172831,CES2,11,11,2.23,12.57,0.64,10,10,23.79,12.97,0.33,22.00,3.13,12.45,0.67,12.46,9.41,15.77,1.00,0.00,FALSE,0.44,0.43,0.45,CES2_43520,0.60,seq.31918.65,0.13,,
prot.1076,O00750,O00750,1,204422628,204494805,ENSG00000133056,PIK3C2B,2,2,5.15,14.27,0.60,2,2,26.73,14.24,0.38,22.00,5.15,14.27,0.60,14.31,10.20,16.26,0.99,0.01,FALSE,0.11,0.10,0.11,,,,,,
prot.1077,O00754;O00754-2,O00754,19,12646511,12666742,ENSG00000104774,MAN2B1,14,14,1.95,12.35,0.53,13,13,21.53,12.69,0.29,22.00,2.02,12.52,0.54,12.56,8.81,14.07,1.00,0.00,FALSE,0.09,0.09,0.10,,,seq.26118.39,-0.03,,
prot.1078,O00764,O00764,21,43719094,43762307,ENSG00000160209,PDXK,2,2,57.62,12.39,0.60,2,2,45.83,12.21,0.69,9.00,57.62,12.39,0.60,12.42,10.47,15.28,0.83,0.00,FALSE,0.12,0.12,0.12,,,seq.11098.1,0.11,,
prot.1079,O14495,O14495,1,56494761,56645301,ENSG00000162407,PLPP3,2,2,21.78,12.59,0.51,2,2,29.26,12.40,0.46,16.00,21.78,12.59,0.51,12.62,10.44,14.31,0.99,0.00,FALSE,0.07,0.07,0.07,,,seq.31282.106,0.02,,
